Name;PhoneNumber;SubscriptionFee;HasPaid
Susanne;25146014;1600.0;true
Sasha;25146020;1200.0;true
Hanne;22414444;500.0;true
Frederik;22414444;500.0;true
Kristian;4444444;500.0;true
Hans;22224444;500.0;true
Gitte;12345678;500.0;true
Ole;22334455;500.0;true
Oskar;33445566;500.0;true
Flemming;55555555;500.0;true
Gustav;45146025;500.0;true
Mikkel;28406040;500.0;true
Henriette;22504020;500.0;false
lisbeth;40502050;500.0;true
Lotte;50402040;500.0;true
Marianne;1122334455;500.0;false
Uffe;44554433;500.0;true
Marc;28602000;500.0;true
Mathias;45425444;500.0;false
Andre;50405544;500.0;false
Lucas;25406077;500.0;true
Lukas;77304520;500.0;true
Nicklas;25146095;500.0;true
Nichlas;55440099;500.0;true
Otto;55440090;500.0;true
Egon;42323022;1200.0;true
Ollo;42323033;500.0;true
Isabella;42323035;1600.0;true
Sara;42323048;500.0;true
Lise;42324040;1600.0;true
Elisabeth;42445522;500.0;true
Oskar;42333333;500.0;true
Alfred;42333355;1600.0;true
Noah;4233366;1600.0;true
Oscar;4233377;1600.0;true
Karl;42333388;1600.0;false
Alma;44221133;1000.0;true
Clara;34110255;1600.0;false
Emma;34110211;1200.0;false
Agnes;34110222;1200.0;true
Freja;34110233;1200.0;true
Karla;34223344;1200.0;false
Ella;34110245;1600.0;false
Sofia;34110246;1600.0;false
Aksel;34110248;1600.0;true
Oliver;34110249;1000.0;false
Arthur;34110260;1000.0;true
Emil;34110211;1600.0;true
Victor;34110222;1200.0;true
August;34110233;1000.0;true
Hugo;34110244;1600.0;true
Josefine;25441133;1000.0;true
Nora;25441132;1600.0;true
Ellen;25441131;1000.0;true
Asta;25441129;1200.0;true
Ida;25441128;1000.0;true
Alberte;25441136;1600.0;true
Mathilde;25441140;1200.0;true
Ida;25441141;1200.0;false
Maja;25441142;1200.0;true
Marie;25441143;1200.0;false
Liam;25441144;1200.0;false
Felix;25441145;1200.0;false
Viggo;25441146;1200.0;false
Theo;25441147;1200.0;false
Nohr;25441148;1600.0;false
Lauge;25441151;1600.0;false
Theodor;25441152;1600.0;false
Anton;25441153;1200.0;true
Magnus;25441154;1200.0;true
Aya;33314455;1000.0;true
Andrea;33314453;1000.0;true
Esther;33314452;1000.0;true
Karoline;33314451;1000.0;true
Emilie;33314456;1000.0;true
Martin;33314457;1000.0;true
Christian;33314460;1000.0;true
Albert;33314461;1000.0;true
Milas;33314463;1000.0;true
Benjamin;33314464;1000.0;true
Vincent;33314466;1000.0;true
Tommy;33314477;1000.0;true
Konrad;3331488;1000.0;true
Marla;36219893;500.0;false
Haakon;21746679;1000.0;true
Gustaf;61781146;1600.0;false
Thyra;40752139;1600.0;true
Dagmar;51484175;1600.0;true
Susanne;25146014;1600.0;true
Sasha;25146020;1200.0;true
Hanne;22414444;500.0;true
Frederik;22414444;500.0;true
Kristian;4444444;500.0;true
Hans;22224444;500.0;true
Gitte;12345678;500.0;true
Ole;22334455;500.0;true
Oskar;33445566;500.0;true
Flemming;55555555;500.0;true
Gustav;45146025;500.0;true
Mikkel;28406040;500.0;true
Henriette;22504020;500.0;false
lisbeth;40502050;500.0;true
Lotte;50402040;500.0;true
Marianne;1122334455;500.0;false
Uffe;44554433;500.0;true
Marc;28602000;500.0;true
Mathias;45425444;500.0;false
Andre;50405544;500.0;false
Lucas;25406077;500.0;true
Lukas;77304520;500.0;true
Nicklas;25146095;500.0;true
Nichlas;55440099;500.0;true
Otto;55440090;500.0;true
Egon;42323022;1200.0;true
Ollo;42323033;500.0;true
Isabella;42323035;1600.0;true
Sara;42323048;500.0;true
Lise;42324040;1600.0;true
Elisabeth;42445522;500.0;true
Oskar;42333333;500.0;true
Alfred;42333355;1600.0;true
Noah;4233366;1600.0;true
Oscar;4233377;1600.0;true
Karl;42333388;1600.0;false
Alma;44221133;1000.0;true
Clara;34110255;1600.0;false
Emma;34110211;1200.0;false
Agnes;34110222;1200.0;true
Freja;34110233;1200.0;true
Karla;34223344;1200.0;false
Ella;34110245;1600.0;false
Sofia;34110246;1600.0;false
Aksel;34110248;1600.0;true
Oliver;34110249;1000.0;false
Arthur;34110260;1000.0;true
Emil;34110211;1600.0;true
Victor;34110222;1200.0;true
August;34110233;1000.0;true
Hugo;34110244;1600.0;true
Josefine;25441133;1000.0;true
Nora;25441132;1600.0;true
Ellen;25441131;1000.0;true
Asta;25441129;1200.0;true
Ida;25441128;1000.0;true
Alberte;25441136;1600.0;true
Mathilde;25441140;1200.0;true
Ida;25441141;1200.0;false
Maja;25441142;1200.0;true
Marie;25441143;1200.0;false
Liam;25441144;1200.0;false
Felix;25441145;1200.0;false
Viggo;25441146;1200.0;false
Theo;25441147;1200.0;false
Nohr;25441148;1600.0;false
Lauge;25441151;1600.0;false
Theodor;25441152;1600.0;false
Anton;25441153;1200.0;true
Magnus;25441154;1200.0;true
Aya;33314455;1000.0;true
Andrea;33314453;1000.0;true
Esther;33314452;1000.0;true
Karoline;33314451;1000.0;true
Emilie;33314456;1000.0;true
Martin;33314457;1000.0;true
Christian;33314460;1000.0;true
Albert;33314461;1000.0;true
Milas;33314463;1000.0;true
Benjamin;33314464;1000.0;true
Vincent;33314466;1000.0;true
Tommy;33314477;1000.0;true
Konrad;3331488;1000.0;true
Marla;36219893;500.0;false
Haakon;21746679;1000.0;true
Gustaf;61781146;1600.0;false
Thyra;40752139;1600.0;true
Dagmar;51484175;1600.0;true
